Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ecuador,0.02,0.022,0.056,1.053,1.607,1.707,1.5688,0.8225,0.462,1.099,0.863,1.281,0.226,0.633,0.79,0.466,-0.32,-0.193,-0.1499,-1.8212,-1.0902,-0.1602,0.274,0.274
Egypt,-0.147,-0.206,-0.78,-0.918,-0.699,-0.778,-0.349,-0.563,-0.896,-0.935,-1.443,-1.577,-0.397,-0.399,-0.679,-0.693,-0.268,-0.344,-0.571,-0.79,-1.421,-1.467,-1.565,-1.597781061
El Salvador,0.696,0.309,0.384,0.325,0.382,0.284,0.002,0.031,-0.006,0.129,0.085,0.114,0.085,0.192,0.381,0.899,0.988,1.585,1.759,1.292,0.643,1.283,0.62025,0.610095612
Estonia,-0.887,-0.791,-0.69,-1.896,-1.794,-1.608,-0.75,-2.42,-0.941,0.082,-3.254,-3.562,-2.24,-3.588,-2.754,-0.925,-2.037,-2.734,-1.897,2.157,3.644,2.629,1.0099181,3.305
Eswatini,0.62,0.639,0.799,0.8,0.697,0.864,0.936,0.983,0.919,0.909,0.806,0.813,0.822,0.86,0.978,1.077,1.064,1.02,0.942,1.044,0.914,0.902,0.924,0.928236598
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.332,-0.563,-0.642,-0.761,-0.7,-1.303,-1.432,-1.0,-1.145,-1.637,-1.665,-1.75,-1.762167823
Finland,11.88,9.959,11.925,4.852,4.87,17.015,11.401,12.557,12.772,12.085,10.501,13.852,17.444,15.715,17.967,16.337,18.951,20.425,19.936,20.042,15.104,17.768,12.9289583,1.7605128
France,-69.479,-68.361,-77.034,-66.414,-61.906,-60.328,-63.341,-56.813,-47.988,-25.934,-30.713,-56.413,-44.521,-48.461,-67.19,-64.063,-41.501,-40.1288,-62.9667,-57.667,-45.0392,-44.8922,15.9261957,-51.1005783
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.388,0.337,0.348,0.456,0.511,0.53,0.543,0.528,0.544035187,0.584039097
Georgia,0.252,0.273,0.447,0.912,1.281,1.346,0.616,-0.198,-0.117,-0.485,-1.26,-0.453,0.087,0.034,0.249,0.039,-0.08,0.8113,0.92,1.383,1.4563,1.615,0.562,-0.679
Germany,3.057,3.657,9.998,-3.272,-2.621,-4.566,-16.977,-16.555,-20.1,-12.273,-14.955,-3.765,-20.542,-32.193,-33.885,-48.282,-50.525,-52.459,-48.736,-32.6679,-19.029,-18.575,-27.021413,9.0367415
Ghana,0.208,0.148,0.434,0.341,0.213,0.176,-0.125,0.189,-0.263,-0.554,-0.93,-0.61,-0.539,-0.503,-0.471,-0.364,0.558,0.052,-0.6,-1.303,-1.743,-1.686,-2.1665391,-1.951550553
Greece,-0.011,2.5,2.896,2.093,2.82,3.78,4.202,4.355,5.613,4.368,5.706,3.232,1.785,1.887,8.819,9.608,8.796,6.237,6.278,9.944,8.864,3.684,3.448217,4.9116082
Guatemala,-0.704,-0.31,-0.385,-0.397,-0.423,-0.312,-0.08,-0.1238,-0.071,-0.057,0.223,0.333,0.03,-0.321,-0.499,-0.502,-0.588,-0.967,-1.6743,-1.049,-0.071,0.025,0.377,0.4690625
Honduras,0.276,0.308,0.415,0.331,0.3775,0.055,0.019,0.012,-0.012,-0.051,0.009,0.043,0.075,0.107,0.316,0.1497,0.2976,0.4211,0.3643,0.247,0.285,0.201,0.192,0.210601285
Hong Kong,9.023,8.775,8.007,7.389,6.75,6.503,6.369,6.924,7.7455,7.86,8.438,8.383,9.971,9.059,9.062,10.555,10.416,11.235,12.043,12.382,12.7,12.555,12.34778766,11.59306483
Hungary,3.44,3.171,4.256,6.939,7.468,6.227,7.207,3.986,3.903,5.513,5.195,6.643,7.967,11.877,13.39,13.686,12.711,12.878,14.348,12.584,11.677,12.754,12.1499723,11.1000503
India,1.302,1.286,1.345,1.69,1.695,1.554,2.741,4.94,5.839,5.301,5.548,5.118,4.641,3.947,0.575,0.094,-1.093,-1.592,-3.837,-3.14,-0.108,-0.026,-1.73147,-1.686066839
