Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cuba,15.0321,15.2991,15.6991,15.8101,15.6338,15.3431,16.4696,17.6223,17.676,17.7254,17.3976,17.759,18.441,19.249,19.441,20.385,20.561,20.5738,20.8117,20.6901,19.0302,17.8295,15.65221463,15.30291856
Cyprus,3.37,3.551,3.785,4.052,4.201,4.377,4.652,4.871,5.079,5.215,5.323,4.93,4.717,4.293,4.347,4.5346,4.8876,5.0044,5.0605,5.1415,4.8491,5.1164,5.2660329,5.3429264
Czechia,72.0204,73.333,74.907,81.366,82.266,80.213,81.842,86.047,81.616,79.871,83.353,84.74,84.596,83.823,82.978,80.6,78.31,81.6913,84.8286,83.6928,78.0537,84.3672,80.696,75.8242948
Denmark,36.014,37.713,39.274,46.167,40.419,36.246,45.611,39.316,36.616,36.384,37.7712,34.3052,29.9224,33.7486,31.3657,28.4303,29.7778,30.4675,29.9229,29.3001,28.4998,32.6043,34.7360786,33.9450018
Djibouti,0.18,0.19,0.2,0.2,0.215,0.298,0.306,0.323,0.339,0.349,0.379,0.387,0.3905,0.4334,0.1008,0.1783,0.0883,0.0592,0.0558,0.0923,0.1264,0.1981,0.201973,0.201736993
Dominica,0.077,0.0809,0.074,0.079,0.1146,0.1179,0.1213,0.1245,0.1289,0.1348,0.1417,0.1421,0.1436,0.1444,0.1481,0.152,0.1569,0.131,0.1105,0.1386,0.1423,0.1437,0.15382716,0.153827352
Dominican Republic,13.0094,12.8408,13.9069,14.1798,12.016,13.3358,14.1141,14.5747,14.6275,13.7574,14.7921,15.7631,16.9125,17.7337,17.2912,18.0111,18.7782,19.1963,19.6018,21.283,19.487,21.44,22.179,24.56157661
Ecuador,10.536,10.979,11.813,11.4736,12.7986,12.648,14.077,17.246,18.4965,18.169,19.4231,20.4326,22.7256,23.1512,24.1921,25.819,27.1553,27.8305,29.2239,32.4518,31.2812,32.1275,33.05581172,34.14979091
Egypt,78.2418,83.3645,89.3012,95.2971,101.4171,108.8086,115.5279,125.2295,130.8339,138.8597,160.2106,157.0051,164.3203,168.1532,175.2216,186.3723,189.6281,196.8391,199.501,195.524,202.777,207.591,209.902,209.294
El Salvador,3.7091,3.9191,4.1381,4.4091,4.4881,4.8181,5.6501,5.8061,5.9631,5.7921,5.9791,6.0781,6.2321,6.283,6.2821,6.086,6.1084,5.5653,5.403,6.0719,6.3341,6.476,6.633,6.49573178
Equatorial Guinea,0.0573,0.068,0.068,0.074,0.097,0.104,0.117,0.134,0.197,0.22,0.2187,0.2989,0.542,0.8496,1.085,1.299,1.398,1.3337,1.3546,1.4045,1.4114,1.432,1.521785113,1.572762964
Eritrea,0.21,0.233,0.259,0.277,0.283,0.288,0.269,0.288,0.289,0.297,0.313,0.326,0.323,0.279,0.278,0.271,0.276,0.3338,0.3897,0.4008,0.4116,0.42,0.436,0.44051477
Estonia,8.514,8.484,8.527,10.159,10.304,10.205,9.732,12.19,10.581,8.7791,12.9641,12.8932,11.9673,13.276,12.449,10.154,12.1697,13.1605,12.3641,7.6156,6.0784,7.3588,8.8430647,6.494733
Eswatini,0.6718,0.7044,0.713,0.6374,0.576,0.626,0.695,0.711,0.6816,0.659,0.7389,0.588,0.516,0.586,0.486,0.381,0.352,0.4304,0.4887,0.487,0.489,0.505,0.546,0.54755624
