Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Congo-Kinshasa,0.004,0.007,0.008,0.008,0.008,0.007,0.046,0.087,0.097,0.086,0.086,0.088,0.009,0.009,0.014,0.016,0.0139,0.0081,0.0073,0.0054,0.0053,0.002,0.004,0.004
Cook Islands,0.025,0.026,0.028,0.0291,0.0298,0.0299,0.0322,0.0337,0.0335,0.0327,0.0337,0.0336,0.0329,0.0325,0.0312,0.0293,0.0296,0.0308,0.0309,0.0288,0.025,0.0248,0.0248,0.0248
Costa Rica,0.059,0.1,0.122,0.157,0.066,0.271,0.533,0.722,0.677,0.451,0.641,0.863,0.8298,1.196,1.043,0.108,0.193,0.0374,0.1586,0.0956,0.0237,0.0029,0.0020001,0.0131883
Cote d'Ivoire,3.049,3.103,3.579,3.2608,3.655,4.133,4.033,3.719,3.784,3.668,4.278,4.261,5.161,5.976,6.303,7.254,8.5507,7.9669,7.035,7.1321,7.8153,8.64,9.161,7.672
Croatia,4.809,5.59,6.854,7.734,6.264,5.997,6.276,7.802,6.939,5.882,5.498,5.955,5.331,4.672,3.499,3.728,4.0065,4.5661,3.6498,4.1782,4.6867,4.5743,5.1884,5.2727886
Cuba,13.999,14.294,14.654,14.962,14.757,14.854,15.969,17.087,16.977,17.038,16.833,17.187,17.744,18.307,18.588,19.487,19.648,19.7716,20.0797,19.8091,18.1354,17.0404,14.979,14.56914156
Cyprus,3.37,3.551,3.785,4.052,4.201,4.376,4.651,4.868,5.064,5.184,5.249,4.751,4.46,3.963,4.033,4.135,4.463,4.5692,4.5831,4.6267,4.2525,4.345,4.38017,4.228
Czechia,57.031,56.903,54.252,55.058,54.716,54.063,54.08,58.172,53.001,49.76,51.3,51.094,48.159,45.815,45.442,46.195,46.5335,45.5983,47.4187,45.343,39.6066,44.8916,39.126,34.1844981
Denmark,29.886,31.276,31.862,37.42,30.252,25.618,35.586,28.216,25.665,25.528,24.5952,19.3463,14.3555,17.0671,12.6572,8.7409,10.684,7.9466,8.4591,5.4323,4.2755,5.7116,5.4768778,3.8293157
Djibouti,0.18,0.19,0.2,0.2,0.215,0.298,0.306,0.323,0.339,0.349,0.379,0.387,0.39,0.4329,0.1003,0.1778,0.0878,0.0587,0.0548,0.0913,0.1254,0.1279,0.131737,0.131736993
Dominica,0.045,0.0539,0.044,0.05,0.0806,0.0907,0.0941,0.1032,0.1086,0.1109,0.1178,0.1062,0.1162,0.107,0.1167,0.1266,0.1195,0.1026,0.0853,0.1174,0.1221,0.1225,0.12961,0.129610192
